disease,entrez_id
peroxisomal disorders,847
peroxisomal disorders,51
peroxisomal disorders,5264
peroxisomal disorders,8504
peroxisomal disorders,5830
peroxisomal disorders,5195
peroxisomal disorders,5194
peroxisomal disorders,5189
peroxisomal disorders,5191
peroxisomal disorders,5190
peroxisomal disorders,5193
peroxisomal disorders,5192
peroxisomal disorders,215
peroxisomal disorders,5828
peroxisomal disorders,8443
peroxisomal disorders,55670
peroxisomal disorders,9409
peroxisomal disorders,8540
peroxisomal disorders,4598
peroxisomal disorders,5824
